({'Class Name: democrat', 'handicapped-infants: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9102564102564102')
({'handicapped-infants: yes', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat'}, 'confidence: 0.9403973509933775')
({'aid-to-nicaraguan-contras: yes', 'handicapped-infants: yes'}, {'Class Name: democrat'}, 'confidence: 0.9246575342465754')
({'Class Name: democrat', 'handicapped-infants: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9551282051282052')
({'physician-fee-freeze: no', 'handicapped-infants: yes'}, {'Class Name: democrat'}, 'confidence: 0.9933333333333333')
({'education-spending: no', 'handicapped-infants: yes'}, {'Class Name: democrat'}, 'confidence: 0.9225352112676056')
({'Class Name: democrat', 'anti-satellite-test-ban: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.92')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat'}, 'confidence: 0.9154228855721394')
({'aid-to-nicaraguan-contras: yes', 'Class Name: democrat'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9311926605504587')
({'aid-to-nicaraguan-contras: yes', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat'}, 'confidence: 0.9441860465116279')
({'mx-missile: yes', 'Class Name: democrat'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9095744680851063')
({'mx-missile: yes', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat'}, 'confidence: 0.95')
({'duty-free-exports: yes', 'Class Name: democrat'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9')
({'duty-free-exports: yes', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat'}, 'confidence: 0.9536423841059603')
({'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.948051948051948')
({'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat'}, 'confidence: 1.0')
({'el-salvador-aid: no', 'Class Name: democrat'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.92')
({'el-salvador-aid: no', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat'}, 'confidence: 0.9787234042553191')
({'Class Name: democrat', 'education-spending: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9014084507042254')
({'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat'}, 'confidence: 0.9552238805970149')
({'superfund-right-to-sue: no', 'Class Name: democrat'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9106145251396648')
